amount_spent,visits,previous_coupons,issue_coupon
6950,8,3,Yes
5481,5,0,Yes
1829,14,4,No
1243,7,4,No
3741,5,0,Yes
7784,7,4,Yes
5254,15,4,Yes
7391,1,1,No
6845,18,1,Yes
5104,9,2,Yes
4283,1,2,No
2962,2,0,No
8908,7,2,Yes
1329,4,0,No
7994,10,5,Yes
401,13,5,No
2028,10,4,No
4065,9,0,Yes
5279,5,4,Yes
2284,15,4,No
7270,13,4,Yes
6975,6,4,Yes
1018,9,3,No
273,8,5,No
3404,12,2,Yes
2618,11,0,No
306,4,5,No
8914,7,5,Yes
4205,7,4,Yes
6855,14,2,Yes
6653,15,0,Yes
273,8,5,No
244,4,3,No
7481,20,5,Yes
2528,19,3,No
9750,19,0,Yes
3710,8,1,Yes
6324,11,4,Yes
9215,2,2,No
7379,13,2,Yes
530,3,0,No
9662,19,3,Yes
7115,6,4,Yes
176,9,2,No
232,19,4,No
8476,18,2,Yes
9312,16,0,Yes
1829,14,4,No
6040,10,1,Yes
7940,6,0,Yes
5852,5,5,Yes
6897,14,3,Yes
9750,19,0,Yes
5824,8,4,Yes
1364,10,4,No
1715,16,5,No
7617,5,4,Yes
8914,7,5,Yes
5501,4,4,Yes
2301,10,1,No
1871,16,2,No
8661,4,3,Yes
9969,11,1,Yes
6611,18,3,Yes
5078,3,3,Yes
5792,3,4,Yes
1506,4,4,No
5726,3,2,Yes
3180,3,2,Yes
9519,3,1,Yes
3231,10,3,Yes
7617,5,4,Yes
1506,4,4,No
4758,16,0,Yes
8299,18,4,Yes
952,6,0,No
208,18,0,No
4878,9,2,Yes
5639,1,1,No
1639,17,5,No
1320,6,4,No
457,3,3,No
5183,11,2,Yes
7337,7,0,Yes
4988,14,1,Yes
7907,4,2,Yes
3366,1,3,No
7353,10,1,Yes
7379,13,2,Yes
6438,12,4,Yes
7122,5,3,Yes
3261,1,5,No
3222,20,0,Yes
1320,6,4,No
5636,4,3,Yes
5153,2,1,No
8722,12,2,Yes
5455,11,5,Yes
